Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Topla cvetačna solata,Su.S.,10,30,40,681,4,437.86,1.63,7.91,7.21,1.74,0.0,topla-cvetacna-solata
Ajdovo pecivo z marmelado in mascarponejevo kremo,M. J.,50,30,80,1993,8,1526.66,6.12,28.77,25.48,2.22,0.38,ajdovo-pecivo-z-marmelado-in-mascarponejevo-kremo
Kljukuša,Sanja Sirk,35,45,80,1115,6,984.16,14.1,18.68,9.82,0.52,0.15,kljukusa
Palmiers piškoti (slonovo uho),M. J.,15,15,30,1291,8,1348.92,5.07,64.53,4.27,0.53,0.0,palmiers-piskoti
Pečen piščanec v smetanovi omaki s papriko,M. J.,5,70,75,1138,6,940.4,14.32,3.68,16.21,0.49,0.0,pecen-piscanec-v-smetanovi-omaki-s-papriko
Pirine palačinke,M. J.,10,20,30,1212,4,1202.61,10.38,32.12,12.33,3.89,0.65,pirine-palacinke
V pečici pečena svinjina z omako,M.J.,10,95,105,1263,4,748.06,14.1,2.61,11.41,0.16,0.0,v-pecici-pecena-svinjina-z-omako
Pečena polenta s paradižnikovo omako in mocarelo,M. J.,5,34,39,1197,6,648.31,6.17,14.38,7.39,1.22,0.34,pecena-polenta-s-paradiznikovo-omako-in-mocarelo
Svinjska pečenka s pisano prilogo iz enega pekača,Su.S.,10,90,100,651,4,462.04,9.39,7.6,3.84,1.21,0.0,svinjska-pecenka-s-pisano-prilogo-iz-enega-pekaca
Topel kremni namaz s feto in špinačo,M. J.,10,25,35,1006,8,704.54,4.94,3.56,14.48,0.57,0.0,kremni-namaz-s-feto-in-spinaco
Lečin bolognese,M. J.,10,60,70,1300,4,655.47,7.64,23.3,3.08,9.23,0.0,lecin-bolognese
Solata iz rdečega zelja z jabolki in orehi,M. J.,25,0,25,759,4,962.45,1.98,9.35,20.4,1.7,0.0,solata-iz-rdecega-zelja-z-jabolki-in-orehi
